@relation data__with_tab

@attribute Volt_X numeric
@attribute Curr_X numeric
@attribute Tem_X numeric
@attribute Lim_X numeric
@attribute Volt_Y numeric
@attribute Curr_Y numeric
@attribute Tem_Y numeric
@attribute Lim_Y numeric
@attribute Volt_Z numeric
@attribute Curr_Z numeric
@attribute Tem_Z numeric
@attribute Lim_Z numeric
@attribute Volt_Spdle numeric
@attribute Curr_Spdle numeric
@attribute Tem_Spdle numeric
@attribute Duty_Cycl_Spdle numeric
@attribute X_Over_Curr numeric
@attribute Y_Over_Curr numeric
@attribute Z_Over_Curr numeric
@attribute Spdle_Over_Curr numeric
@attribute X_Short_Cir numeric
@attribute Y_Short_Cir numeric
@attribute Z_Short_Cir numeric
@attribute Spdle_Short_Cir numeric
@attribute X_Lim_Fault numeric
@attribute Y_Lim_Fault numeric
@attribute Z_Lim_Fault numeric
@attribute Fault numeric

@data
17.69,0.95,27,0,17.63,1,27,0,0.59,0.95,65.5,0,11.7,1.5,29.5,90,0,0,0,0,0,0,1,0,0,0,0,1
17.64,0.96,27,0,17.63,0.99,27,0,0.59,0.95,65.5,0,11.69,1.5,29.5,90,0,0,0,0,0,0,1,0,0,0,0,1
17.69,1.14,27,0,17.67,1,27,0,0.57,1.15,65.5,0,11.69,1.49,29.5,90,0,0,0,0,0,0,1,0,0,0,0,1
18.49,0.95,27,0,0.63,0.95,60,0,17.66,0.92,28.5,0,11.7,1.52,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.65,0.94,27,0,0.56,0.93,60,0,18,1.44,28.5,0,11.7,1.53,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.63,1.02,27,0,0.55,0.92,60,0,17.67,1.12,28.5,0,11.7,1.48,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.64,1.05,27,0,0.56,0.98,65,0,17.71,0.97,28.5,0,11.7,1.5,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.76,0.97,27.5,0,0.59,0.91,65,0,17.89,1.06,28.5,0,11.69,1.51,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.88,0.93,27.5,0,0.69,0.93,65,0,17.96,0.97,28.5,0,11.68,1.51,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.63,1.03,27.5,0,0.57,0.93,70,0,18.33,1.11,28.5,0,11.69,1.52,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.69,1.06,27.5,0,0.58,1.32,70,0,18.03,1.04,28.5,0,11.68,1.48,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.96,0.98,27.5,0,0.58,1.57,65,0,17.61,0.98,28.5,0,11.69,1.49,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.79,1.08,27.5,0,0.58,1.31,65,0,17.62,0.92,28.5,0,11.68,1.5,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.66,1.19,27.5,0,0.57,0.92,60,0,17.71,0.96,28.5,0,11.69,1.49,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.63,0.98,27.5,0,0.57,1.01,60,0,17.72,1.23,28.5,0,11.69,1.38,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.63,1.26,27.5,0,0.57,1.29,60,0,18.09,1.02,28.5,0,11.69,1.51,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.62,0.95,27.5,0,0.58,0.91,60,0,17.65,1.43,28.5,0,11.68,1.47,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.66,1.03,27.5,0,0.57,1.2,65.5,0,17.63,1.27,28.5,0,11.69,1.48,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.64,1.71,27.5,0,0.61,0.95,65.5,0,17.69,1.3,28.5,0,11.69,1.49,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.7,1.03,27.5,0,0.59,1.11,65.5,0,17.71,1.28,28.5,0,11.69,1.5,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.61,1.01,27.5,0,0.59,1.09,65.5,0,18.3,0.97,28.5,0,11.7,1.5,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
17.88,1.16,27.5,0,0.57,1.15,65.5,0,17.94,0.98,28.5,0,11.69,1.49,29.5,90,0,0,0,0,0,1,0,0,0,0,0,1
0.63,1.01,60,0,17.61,0.92,26.5,0,17.63,0.91,28.5,0,11.7,1.52,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.56,1.07,60,0,18.22,1.01,26.5,0,17.74,1.02,28.5,0,11.69,1.53,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.55,1.59,60,0,17.72,0.96,26.5,0,17.63,0.99,28.5,0,11.69,1.48,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.56,1,65,0,17.62,1.01,26.5,0,17.69,1.37,28.5,0,11.68,1.5,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.59,1.15,65,0,17.89,0.95,26.5,0,17.72,0.92,28.5,0,11.69,1.51,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.69,1.04,65,0,17.67,1.55,26.5,0,17.66,0.97,28.5,0,11.7,1.51,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.57,0.96,70,0,17.71,1.42,26.5,0,17.63,0.93,28.5,0,11.7,1.52,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.58,0.95,70,0,18.17,0.92,26.5,0,17.62,1.39,28.5,0,11.69,1.48,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.58,1.06,65,0,17.9,1.25,26.5,0,17.75,1.05,28.5,0,11.68,1.49,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.58,1.05,65,0,17.8,1.1,26.5,0,17.65,1,28.5,0,11.7,1.5,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.57,0.95,60,0,17.8,1.49,26.5,0,17.65,0.99,28.5,0,11.7,1.49,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.57,1.45,60,0,17.64,0.91,26.5,0,17.66,1.16,28.5,0,11.68,1.38,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.57,0.99,60,0,17.68,0.94,26.5,0,17.66,1.01,28.5,0,11.69,1.51,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.58,0.92,60,0,17.64,1.45,26.5,0,17.65,1.07,28.5,0,11.7,1.47,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.57,0.92,65.5,0,17.69,1.02,26.5,0,17.63,1.59,28.5,0,11.7,1.48,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.61,1.08,65.5,0,17.71,0.96,26.5,0,17.8,1,28.5,0,11.7,1.49,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.59,0.91,65.5,0,17.67,1.02,26.5,0,18.31,0.91,28.5,0,11.69,1.5,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.59,0.95,65.5,0,17.66,0.94,26.5,0,17.65,1.7,28.5,0,11.69,1.5,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
0.57,1.61,65.5,0,17.62,1.05,27,0,17.62,1.16,28.5,0,11.7,1.49,29.5,90,0,0,0,0,1,0,0,0,0,0,0,1
18.03,0.93,26.5,0,18,1.09,27,0,17.64,0.93,28.5,0,11.7,6.44,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.87,0.93,26.5,0,17.86,0.92,27,0,17.88,1.14,28.5,0,11.69,6.42,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.67,1.22,26.5,0,17.69,0.95,27,0,17.63,0.91,28.5,0,11.7,6.42,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.63,1.28,26.5,0,17.76,1,27,0,17.63,0.96,28.5,0,11.69,6.52,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.62,0.94,26.5,0,17.69,0.96,27,0,17.66,0.92,28.5,0,11.7,6.43,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.67,1,26.5,0,17.79,0.95,27,0,17.77,0.94,28.5,0,11.7,6.67,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.68,0.99,26.5,0,17.8,1.21,27,0,17.65,0.94,28.5,0,11.7,6.57,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.68,1.51,26.5,0,18.21,0.95,27,0,18.2,0.97,28.5,0,11.69,6.49,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.86,1.79,26.5,0,17.85,0.97,27,0,17.73,1.07,28.5,0,11.7,6.67,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
18.01,0.95,26.5,0,17.78,1.1,27,0,17.69,0.94,28.5,0,11.69,6.45,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.67,0.95,26.5,0,17.62,0.96,27,0,17.91,1.14,28.5,0,11.69,6.89,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.71,1.15,26.5,0,17.78,1.15,27,0,17.62,1,28.5,0,11.7,6.54,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.63,0.92,26.5,0,17.62,1.33,27,0,17.63,0.99,28.5,0,11.69,6.47,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.62,1.44,26.5,0,17.76,0.92,27,0,17.65,1,28.5,0,11.65,6.61,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.68,1.12,26.5,0,17.63,1.1,27,0,17.69,0.95,28.5,0,11.7,6.45,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
17.61,0.97,26.5,0,17.62,0.92,27,0,17.65,0.93,28.5,0,11.7,6.76,50.5,95,0,0,0,1,0,0,0,0,0,0,0,1
