@relation data__with_tab

@attribute Volt_X numeric
@attribute Curr_X numeric
@attribute Tem_X numeric
@attribute Lim_X numeric
@attribute Volt_Y numeric
@attribute Curr_Y numeric
@attribute Tem_Y numeric
@attribute Lim_Y numeric
@attribute Volt_Z numeric
@attribute Curr_Z numeric
@attribute Tem_Z numeric
@attribute Lim_Z numeric
@attribute Volt_Spdle numeric
@attribute Curr_Spdle numeric
@attribute Tem_Spdle numeric
@attribute Duty_Cycl_Spdle numeric
@attribute X_Over_Curr numeric
@attribute Y_Over_Curr numeric
@attribute Z_Over_Curr numeric
@attribute Spdle_Over_Curr numeric
@attribute X_Short_Cir numeric
@attribute Y_Short_Cir numeric
@attribute Z_Short_Cir numeric
@attribute Spdle_Short_Cir numeric
@attribute X_Lim_Fault numeric
@attribute Y_Lim_Fault numeric
@attribute Z_Lim_Fault numeric
@attribute Fault numeric

@data
18.44,0.91,60,0,17.62,0.94,27.5,0,17.62,1.42,29,0,10.24,1.14,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
17.7,1.2,60,0,17.87,1.1,27.5,0,17.62,0.92,28.5,0,10.23,1.23,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
17.95,0.95,26.5,0,17.7,1.2,27.5,0,17.68,1.01,28.5,1,10.23,1.26,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.72,1.11,26.5,0,17.97,0.92,27.5,0,17.61,1.29,29,1,10.24,1.25,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.62,1.09,26.5,0,17.64,0.94,27.5,0,17.63,1.05,29,1,10.23,1.27,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.62,1.15,26.5,0,17.78,1.03,27.5,0,17.75,1.25,28.5,1,10.24,1.27,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.64,0.92,26.5,0,17.8,0.96,27.5,0,17.74,1.09,28.5,1,11.69,1.53,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
18.06,1.01,26.5,0,17.91,0.93,27.5,0,17.83,0.92,29,1,11.69,1.48,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.68,0.96,26.5,0,17.67,0.93,27.5,0,17.75,0.93,29,1,11.68,1.5,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
18.01,1.01,26.5,0,17.61,0.91,27.5,0,17.68,1.1,29,1,11.69,1.51,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.7,0.95,26.5,0,18.23,0.91,27.5,0,17.71,1.07,29,1,11.7,1.51,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.63,1.55,26.5,0,17.68,0.97,27.5,0,17.62,1.47,29,1,11.7,1.52,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.69,1.42,26.5,0,17.64,1.11,27.5,0,17.64,0.94,29,1,11.69,1.48,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.65,0.92,26.5,0,18.33,1.24,27.5,0,17.63,1.1,29,1,11.68,1.49,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.71,1.25,26.5,0,17.69,0.94,27.5,0,17.61,1.2,29,1,11.7,1.5,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.68,1.1,26.5,0,18.26,0.92,27.5,0,17.83,0.92,29,1,11.7,1.49,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.71,1.49,26.5,0,17.71,1.25,27.5,0,17.74,0.94,29,1,11.68,1.38,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
18.35,0.91,26.5,0,17.69,1.1,27.5,0,18.13,1.03,29,1,11.69,1.51,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.68,0.94,26.5,0,17.97,1.34,27.5,0,17.61,0.96,29,1,11.7,1.47,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
18.35,1.45,26.5,0,18.01,0.91,27.5,0,17.64,0.93,29,1,11.7,1.48,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.71,1.02,27,0,17.91,0.93,27.5,0,17.85,0.93,29,1,11.69,1.26,40.5,85,0,0,0,0,0,0,0,0,0,0,1,1
17.96,0.96,27,0,18.46,0.93,27.5,1,17.91,0.91,29,0,11.7,1.25,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.75,1.02,27,0,17.62,1.03,27.5,1,17.79,0.91,29,0,11.7,1.26,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.66,0.94,27,0,18.08,1.55,27.5,1,17.62,0.97,29,0,11.7,1.24,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.94,1.05,27,0,17.62,0.93,27.5,1,17.61,1.11,29,0,11.7,1.27,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.75,1.09,27,0,17.66,0.96,27.5,1,17.63,1.24,29,0,11.7,1.26,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.8,0.92,27,0,17.62,1.04,27.5,1,17.74,0.94,29,0,11.7,1.24,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.72,0.95,27,0,17.89,0.99,27.5,1,17.66,0.92,29,0,11.71,1.22,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.64,1,27,0,17.75,0.93,27.5,1,18.15,1.25,29,0,11.7,1.27,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.63,0.96,27,0,17.61,0.96,27.5,1,17.73,1.1,29,0,11.69,1.25,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.84,0.95,27,0,17.72,0.93,27.5,1,17.64,1.02,29,0,11.67,1.14,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.75,1.21,27,0,17.68,1.32,27.5,1,17.67,0.94,29,0,11.69,1.24,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
18.08,0.95,27,0,17.61,0.93,27.5,1,18.07,1.05,29,0,11.69,1.27,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.63,0.97,27,0,17.63,1.23,27.5,1,18.44,1.09,29,0,11.7,1.28,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.69,1.1,27,0,17.74,1.21,27.5,1,17.74,0.92,29,0,11.71,1.27,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
18.04,0.96,27,0,17.85,1.46,27.5,1,17.85,0.95,29,0,11.7,1.26,40.5,85,0,0,0,0,0,0,0,0,0,1,0,1
17.72,1.15,27,0,17.92,0.94,27.5,1,17.92,1,29,0,11.69,1.21,41,85,0,0,0,0,0,0,0,0,0,1,0,1
17.64,1.33,27,0,17.63,0.95,27.5,1,17.63,0.96,29,0,11.69,1.24,41,85,0,0,0,0,0,0,0,0,0,1,0,1
17.82,0.92,27,0,18.15,1.12,27.5,1,18.15,0.95,29,0,11.7,1.26,41,85,0,0,0,0,0,0,0,0,0,1,0,1
17.75,1.1,27,0,18.15,1.43,27.5,1,18.15,1.21,29,0,11.7,1.24,41,85,0,0,0,0,0,0,0,0,0,1,0,1
17.62,0.92,27,1,17.74,1.26,27.5,0,17.74,0.95,29,0,11.7,1.24,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.68,0.93,27,1,17.69,1.63,27.5,0,17.69,0.97,29,0,11.7,1.23,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.69,0.95,27,1,18.12,0.94,27.5,0,18.12,1.1,29,0,11.69,1.26,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.63,1,27,1,17.62,1.16,27.5,0,17.62,0.96,29,0,11.69,1.24,41,85,0,0,0,0,0,0,0,0,1,0,0,1
18.06,1.13,27,1,17.73,1.03,27.5,0,17.73,1.15,29,0,11.7,1.24,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.69,0.91,27,1,17.67,0.92,27.5,0,17.67,1.33,29,0,11.66,1.12,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.91,0.93,27,1,17.88,0.94,27.5,0,17.88,0.92,29,0,11.69,1.22,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.63,1,27,1,17.87,1,27.5,0,17.87,1.1,29,0,11.69,1.23,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.84,0.99,27,1,18.19,1.22,27.5,0,18.19,0.92,29,0,11.69,1.26,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.63,1.16,27,1,17.62,0.91,27.5,0,17.62,0.93,29,0,11.69,1.25,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.65,1.01,27,1,17.93,1.23,27.5,0,17.93,0.95,29,0,11.7,1.25,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.63,1.07,27,1,17.93,0.93,27.5,0,17.93,1,29,0,11.7,1.21,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.64,1.59,27,1,17.73,1.28,27.5,0,17.73,1.13,29,0,11.7,1.23,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.78,1,27,1,17.63,0.97,27.5,0,17.63,0.91,29,0,11.69,1.27,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.86,0.91,27,1,17.68,1.21,27.5,0,17.68,0.93,29,0,11.7,1.26,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.67,1.7,27,1,17.68,1.04,27.5,0,17.68,1,29,0,11.69,1.24,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.68,1.16,27,1,17.8,0.96,27.5,0,17.8,0.99,29,0,11.7,1.24,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.68,0.93,27,1,17.74,1.54,27.5,0,17.74,1.16,29,0,11.7,1.26,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.91,1.14,27,1,17.7,0.98,27.5,0,17.7,1.01,29,0,11.7,1.26,41,85,0,0,0,0,0,0,0,0,1,0,0,1
17.63,0.91,26.5,0,17.65,1,26.5,0,17.65,1.07,28.5,0,11.7,1.22,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.78,0.96,26.5,0,17.65,0.93,26.5,0,17.65,1.59,28.5,0,11.7,1.14,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.81,0.92,26.5,0,17.96,0.98,26.5,0,17.96,1,28.5,0,11.7,1.26,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.99,0.94,26.5,0,17.63,1.04,26.5,0,17.63,0.91,28.5,0,11.71,1.26,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.74,0.94,26.5,0,17.77,0.96,26.5,0,17.77,1.7,28.5,0,11.7,1.5,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.97,0.97,26.5,0,17.62,0.95,26.5,0,17.62,1.16,28.5,0,11.69,1.51,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.62,1.07,26.5,0,17.62,1.06,26.5,0,17.62,1.04,28.5,0,11.67,1.51,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.68,0.94,26.5,0,17.75,1.05,26.5,0,17.75,0.96,28.5,0,11.69,1.52,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.93,1.14,27,0,17.76,0.95,26.5,0,17.76,0.95,28.5,0,11.69,1.48,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.64,1,27,0,17.61,1.45,26.5,0,17.61,1.06,28.5,0,11.7,1.49,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.7,0.99,27,0,17.64,0.99,26.5,0,17.64,1.05,28.5,0,11.71,1.5,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.79,1,27,0,17.8,0.92,26.5,0,17.8,0.95,28.5,0,11.7,1.49,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.67,0.95,27,0,17.63,0.92,26.5,0,17.63,1.45,28.5,0,11.69,1.38,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.62,0.93,27,0,17.61,1.08,26.5,0,17.61,0.99,28.5,0,11.69,1.51,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.66,0.92,27,0,17.62,0.91,26.5,0,17.62,0.92,28.5,0,11.7,1.47,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.74,1.04,27,0,18.47,0.95,26.5,0,18.47,0.92,28.5,0,11.7,1.48,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.85,0.96,27,0,17.68,1.61,26.5,0,17.68,1.08,28.5,0,11.7,1.49,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.61,0.95,27,0,17.71,0.93,27,0,17.71,0.91,28.5,0,11.7,1.5,41,85,0,0,0,0,0,0,0,0,0,0,0,0
17.83,1.06,27,0,17.7,0.93,27,0,17.7,0.95,28.5,0,11.69,1.5,41,85,0,0,0,0,0,0,0,0,0,0,0,0
18.06,1.05,27,0,17.61,1.22,27,0,17.61,1.61,28.5,0,11.69,1.49,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.69,0.95,27,0,17.81,1.28,27,0,17.81,0.93,28.5,0,11.7,1.52,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.75,1.45,27,0,17.63,0.94,27,0,17.63,0.93,28.5,0,11.66,1.53,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.68,0.99,27,0,17.63,1,27,0,17.63,1.22,28.5,0,11.69,1.48,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.68,0.92,27,0,17.62,0.99,27,0,17.62,1.28,28.5,0,11.69,1.5,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.71,0.92,27,0,17.67,1.51,27,0,17.67,0.94,28.5,0,11.69,1.51,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.93,1.08,27,0,17.7,1.79,27,0,17.7,1,28.5,0,11.69,1.51,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.94,0.91,27,0,17.64,0.95,27,0,17.64,0.99,28.5,0,11.7,1.52,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.8,0.95,27,0,17.84,0.95,27,0,17.84,1.51,28.5,0,11.7,1.48,30,85,0,0,0,0,0,0,0,0,0,0,0,0
18.04,1.61,27,0,17.66,1.15,27,0,17.66,1.79,28.5,0,11.7,1.49,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.68,0.93,27,0,18.18,0.92,27,0,18.18,0.95,28.5,0,11.69,1.5,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.89,0.93,27,0,17.8,1.44,27,0,17.8,0.95,28.5,0,11.7,1.49,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.67,1.22,27,0,17.65,1.12,27,0,17.65,1.15,28.5,0,11.69,1.38,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.61,1.28,27,0,17.76,0.97,27,0,17.76,0.92,28.5,0,11.69,1.51,30,85,0,0,0,0,0,0,0,0,0,0,0,0
18.39,0.94,27,0,17.62,1.06,27,0,17.62,1.44,28.5,0,11.68,1.47,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.63,1,27,0,18.1,0.97,27,0,18.1,1.12,28.5,0,11.69,1.48,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.66,0.99,27,0,18.25,0.95,27,0,18.25,0.97,28.5,0,11.69,1.49,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.71,1.51,27,0,17.73,0.95,27,0,17.73,1.06,28.5,0,11.69,1.5,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.69,1.79,27,0,17.69,1.15,27,0,17.69,0.97,28.5,0,11.7,1.5,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.62,0.95,27,0,18.34,1.61,27,0,18.34,0.95,28.5,0,11.69,1.49,30,85,0,0,0,0,0,0,0,0,0,0,0,0
17.68,0.95,27,0,17.66,0.93,27,0,17.66,0.95,28.5,0,11.7,1.52,30,85,0,0,0,0,0,0,0,0,0,0,0,0
